PARK_ID,PARK_NM,CTPRV_CD,SGNG_CD,EMNDN_CD,LGDNG_LI_CD,MLTNO_YN,LTNO_ORN,LTNO_VCN,ENTC_XCRD,ENTC_YCRD
P00001,인왕산도시자연공원,11,110,111,0,2,3,14,126.960534,37.58460805
P00002,북악산도시자연공원,11,110,140,0,2,2,49,126.9803275,37.58940953
P00003,북한산도시자연공원,11,110,183,0,2,6,2,126.9796917,37.60639725
P00004,삼청시공원,11,110,149,0,1,1,7,126.9879369,37.58944038
P00005,인왕산근린공원,11,110,111,0,2,3,1,126.9638772,37.5845056
P00006,북한산근린공원,11,110,183,0,2,6,17,126.9800522,37.60153837
P00007,사직시공원,11,110,115,0,1,1,28,126.9672638,37.57593651
P00008,삼청시공원,11,110,140,0,2,2,1,126.982824,37.59216768
P00009,와룡시공원,11,110,173,0,1,53,52,126.9893814,37.58943448
P00010,흥인지문시공원,11,110,164,0,1,70,0,127.0088742,37.57232034
P00011,탑골,11,110,138,0,1,38,1,126.9883577,37.57115836
P00013,연지,11,110,160,0,1,1,38,127.0008099,37.57573688
P00014,수송,11,110,124,0,1,80,7,126.9811477,37.57384581
P00015,내수어울(내수1),11,110,118,0,1,71,2,126.9705489,37.57360831
P00016,내수(내수2),11,110,118,0,1,73,3,126.9716537,37.57237367
P00017,월암,11,110,178,0,1,1,2,126.9657457,37.57077798
P00018,청진,11,110,122,0,1,146,3,126.9798956,37.57140175
P00019,원서,11,110,149,0,1,181,0,126.9886178,37.57839175
P00020,북악산시공원,11,110,101,0,1,15,47,126.9698673,37.59042464
P00022,보신각,11,110,135,0,1,45,5,126.9835801,37.56984216
P00023,창신,11,110,174,0,1,400,4,127.0172348,37.57059455
P00025,참샘골,11,110,183,0,1,470,0,126.9746055,37.61511442
P00026,감나무골,11,110,183,0,1,495,4,126.970323,37.6127522
P00027,새마을,11,110,183,0,1,327,7,126.9650929,37.60568152
P00028,옥인,11,110,111,0,1,187,2,126.9623556,37.58234382
P00029,인왕,11,110,187,0,1,55,1,126.9569935,37.57745328
P00030,무악,11,110,187,0,2,2,83,126.960571,37.57745165
P00031,연지,11,110,160,0,1,136,92,127.0010434,37.57416465
P00032,명륜,11,110,170,0,1,23,9,126.9981022,37.58808219
P00033,경학,11,110,173,0,1,53,2,126.9965241,37.58467893
P00034,지봉골,11,110,174,0,2,6,25,127.0146214,37.57887676
P00035,낙산,11,110,174,0,1,611,19,127.0098978,37.57971157
P00036,창신,11,110,174,0,1,23,362,127.0129577,37.57804308
P00037,신문로,11,110,121,0,1,160,1,126.9724104,37.56905828
P00038,당주,11,110,117,0,1,128,39,126.9719196,37.5719473
P00039,새문안,11,110,121,0,1,108,9,126.9712591,37.56880627
P00045,후창,11,110,183,0,1,568,2,126.9646021,37.61013568
P00046,평창,11,110,183,0,1,108,3,126.9779151,37.61060942
P00047,달바위(돈의문1구역소공원3),11,110,178,0,1,145,2,126.9654229,37.57065598
P00048,솔빛(돈의문1구역소공원1),11,110,178,0,1,145,3,126.9655389,37.56994864
P00049,소담(돈의문1구역소공원2),11,110,181,0,1,211,4,126.9616545,37.57211803
P00050,서린,11,110,123,0,1,82,0,126.9808189,37.56977858
P00051,덕수,11,110,120,0,1,182,0,126.9744362,37.56927245
P00052,부암튼튼,11,110,184,0,1,262,1,126.9645869,37.59227831
P00053,의주,11,110,187,0,1,89,1,126.9601857,37.57370789
P00055,새터,11,110,163,0,1,120,0,127.0001361,37.57155041
P00057,부암1,11,110,184,0,1,251,8,126.9661695,37.59189288
P00058,부암2,11,110,184,0,1,336,2,126.9641928,37.59041684
P00059,삼청,11,110,140,0,1,145,15,126.9813543,37.58600782
P00061,경희궁시공원,11,110,121,0,1,2,1,126.9688561,37.57089633
P00062,동묘,11,110,175,0,1,238,1,127.0183275,37.57297599
P00063,도렴,11,110,120,0,1,240,2,126.9739644,37.57088837
P00064,공평1(조성),11,110,136,0,1,275,0,126.9855131,37.57121552
P00066,마로니에,11,110,168,0,1,1,124,127.0027114,37.58048203
P00067,세종,11,110,120,0,1,239,3,126.9759751,37.57049534
P00068,통의동,11,110,106,0,1,7,3,126.9736653,37.57864074
P00069,청운동,11,110,101,0,1,2,72,126.9682714,37.5901387
P00070,동숭동,11,110,168,0,1,129,6,127.0058416,37.58017161
P00071,이화장,11,110,165,0,1,1,3,127.0063299,37.57853556
P00072,쌈지,11,110,174,0,1,23,334,127.0120762,37.57766124
P00073,종묘광장,11,110,150,0,1,1,2,126.9948635,37.5731338
P00074,무궁화동산,11,110,103,0,1,55,3,126.9723448,37.58424065
P00075,우정총국주변시민광장,11,110,129,0,1,27,9,126.9823627,37.57446913
P00076,효자동쉼터,11,110,111,0,1,45,28,126.9693103,37.58161801
P00077,숭인1동쉼터,11,110,175,0,1,64,1,127.0157747,37.57591828
P00078,부암동쉼터,11,110,184,0,1,28,1,126.9692807,37.59491926
P00079,부암동2쉼터,11,110,184,0,1,265,21,126.9641517,37.59258389
P00080,부암동3쉼터,11,110,184,0,1,250,1,126.9661226,37.59262015
P00081,창신2동쉼터,11,110,174,0,1,615,141,127.0094188,37.57967403
P00082,무악동쉼터,11,110,187,0,1,78,0,126.9616916,37.57725587
P00083,사직동쉼터,11,110,115,0,1,311,72,126.9657289,37.5733932
P00084,명륜3쉼터1,11,110,173,0,1,74,5,126.9959684,37.5844606
P00085,명륜3쉼터2,11,110,173,0,1,1,1318,126.9946659,37.58892839
P00086,창성동쉼터,11,110,105,0,1,67,0,126.9728749,37.58120109
P00088,연건동쉼터,11,110,166,0,1,115,0,127.0006573,37.57862439
P00089,누하동쉼터,11,110,110,0,1,121,0,126.9679247,37.57965447
P00090,통인동쉼터,11,110,108,0,1,44,1,126.9687483,37.58075958
