강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 서울
기간 : 2020~2025 01~12
"년월,지점,강수량(mm)"
"2020-01,108,60.5"
"2020-02,108,53.1"
"2020-03,108,16.3"
"2020-04,108,16.9"
"2020-05,108,112.4"
"2020-06,108,139.6"
"2020-07,108,270.4"
"2020-08,108,675.7"
"2020-09,108,181.5"
"2020-10,108,0"
"2020-11,108,120.1"
"2020-12,108,4.6"
"2021-01,108,18.9"
"2021-02,108,7.1"
"2021-03,108,110.9"
"2021-04,108,124.1"
"2021-05,108,183.1"
"2021-06,108,104.6"
"2021-07,108,168.3"
"2021-08,108,211.2"
"2021-09,108,131"
"2021-10,108,57"
"2021-11,108,62.4"
"2021-12,108,7.9"
"2022-01,108,5.5"
"2022-02,108,4.7"
"2022-03,108,102.6"
"2022-04,108,20.4"
"2022-05,108,7.5"
"2022-06,108,393.8"
"2022-07,108,252.3"
"2022-08,108,564.8"
"2022-09,108,201.5"
"2022-10,108,124.1"
"2022-11,108,84.5"
"2022-12,108,13.6"
"2023-01,108,47.9"
"2023-02,108,1"
"2023-03,108,10.5"
"2023-04,108,96.9"
"2023-05,108,155.6"
"2023-06,108,195.6"
"2023-07,108,459.9"
"2023-08,108,298.1"
"2023-09,108,134.5"
"2023-10,108,31"
"2023-11,108,81.9"
"2023-12,108,85.9"
"2024-01,108,18.9"
"2024-02,108,74.7"
"2024-03,108,29.9"
"2024-04,108,33.2"
"2024-05,108,125.1"
"2024-06,108,115.9"
"2024-07,108,557.3"
"2024-08,108,72.8"
"2024-09,108,143.9"
"2024-10,108,74"
"2024-11,108,60"
"2024-12,108,5.7"
"2025-01,108,19.5"
"2025-02,108,5.2"
"2025-03,108,38.2"
"2025-04,108,94.6"
"2025-05,108,123.6"
"2025-06,108,98.1"
"2025-07,108,293.9"
"2025-08,108,290.3"
"2025-09,108,370.7"
"2025-10,108,186.3"
"2025-11,108,2.9"
