기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 서울
기간 : 2020~2025 01~12
"년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)"
"			2020-01,108,1.6,-1.7,5.9"
"			2020-02,108,2.5,-1.3,7.2"
"			2020-03,108,7.7,2.6,13.3"
"			2020-04,108,11.1,6.3,16.6"
"			2020-05,108,18,13.7,23.3"
"			2020-06,108,23.9,19.9,29"
"			2020-07,108,24.1,21.1,28"
"			2020-08,108,26.5,24.4,29.3"
"			2020-09,108,21.4,18,25.6"
"			2020-10,108,14.3,9.6,19.5"
"			2020-11,108,8,4,12.6"
"			2020-12,108,-0.3,-4.2,3.9"
"			2021-01,108,-2.4,-6.8,2.2"
"			2021-02,108,2.7,-2.2,7.9"
"			2021-03,108,9,4.3,14.8"
"			2021-04,108,14.2,9.5,19.5"
"			2021-05,108,17.1,12.8,21.9"
"			2021-06,108,22.8,18.9,27.6"
"			2021-07,108,28.1,24.6,32.2"
"			2021-08,108,25.9,22.8,29.7"
"			2021-09,108,22.6,18.8,26.9"
"			2021-10,108,15.6,11.6,20.5"
"			2021-11,108,8.2,4,13.1"
"			2021-12,108,0.6,-3.5,5.1"
"			2022-01,108,-2.2,-6.2,2.6"
"			2022-02,108,-1.1,-5.3,3.8"
"			2022-03,108,7.7,3.2,12.7"
"			2022-04,108,14.8,10,20.6"
"			2022-05,108,19.1,13.9,25"
"			2022-06,108,23.3,19.8,27.5"
"			2022-07,108,27.3,24.2,31"
"			2022-08,108,25.7,23.1,28.9"
"			2022-09,108,22.4,18.2,27.2"
"			2022-10,108,14.6,10.3,19.7"
"			2022-11,108,10,5.6,15.4"
"			2022-12,108,-2.8,-6.6,1.7"
"			2023-01,108,-1.5,-5.7,3.2"
"			2023-02,108,2.3,-1.9,7.3"
"			2023-03,108,9.8,4.2,16.2"
"			2023-04,108,13.8,8.8,19"
"			2023-05,108,19.5,14.6,25"
"			2023-06,108,23.4,19.7,27.9"
"			2023-07,108,26.7,23.9,30.2"
"			2023-08,108,27.2,24.3,30.8"
"			2023-09,108,23.7,20.2,27.6"
"			2023-10,108,15.8,11.5,21"
"			2023-11,108,6.8,2.9,11.5"
"			2023-12,108,1.1,-2.5,5.2"
"			2024-01,108,-0.5,-3.9,3.6"
"			2024-02,108,3.8,0.2,8.2"
"			2024-03,108,7,2.4,12"
"			2024-04,108,16.3,11.5,22.4"
"			2024-05,108,18.5,13.8,23.7"
"			2024-06,108,24.6,19.9,30.1"
"			2024-07,108,26.6,24.1,29.6"
"			2024-08,108,29.3,26.3,33.3"
"			2024-09,108,25.5,22,29.8"
"			2024-10,108,16.7,12.7,21.4"
"			2024-11,108,9.7,5.5,14.9"
"			2024-12,108,0.8,-2.9,5.3"
"			2025-01,108,-0.4,-4.1,3.9"
"			2025-02,108,-1.2,-5.3,3.9"
"			2025-03,108,8,3.3,13.6"
"			2025-04,108,13.4,8.2,19"
"			2025-05,108,17.8,13.3,22.7"
"			2025-06,108,24,20,28.5"
"			2025-07,108,28.8,25.7,32.6"
"			2025-08,108,28.2,25.3,31.9"
"			2025-09,108,23.5,20.3,27.4"
"			2025-10,108,16.5,13.1,20.4"
"			2025-11,108,,,"
