승강기 관리현황,,,,,,,,
호선,역명,E/L,E/S,M/W,W/L,수직형리프트,합계,비고
총 합계,,863,"1,877",18,70,6,"2,834",
1,서울역(1),4,5,0,0,0,9,
1,시청(1),3,3,0,0,0,6,
1,종각,4,2,0,0,0,6,
1,종로3가(1),3,4,0,0,0,7,
1,종로5가,3,0,0,0,0,3,
1,동대문(1),3,1,0,0,0,4,
1,동묘앞(1),7,12,0,0,0,19,
1,신설동(1),5,0,0,4,0,9,
1,제기동,3,2,0,0,0,5,
1,청량리(1),2,6,0,0,1,9,
2,시청(2),2,4,0,0,0,6,
2,을지로입구,4,6,0,0,0,10,
2,을지로3가(2),2,0,0,0,0,2,
2,을지로4가(2),3,2,0,0,0,5,
2,동대문역사문화공원(2),3,2,0,0,0,5,
2,신당(2),3,2,0,0,0,5,
2,상왕십리,3,8,0,0,0,11,
2,왕십리(2),2,8,0,0,0,10,
2,한양대,2,2,0,0,1,5,
2,뚝섬,4,8,0,0,0,12,
2,성수,4,8,0,0,0,12,
2,용답,2,0,0,0,1,3,
2,신답,2,0,0,0,0,2,
2,용두,4,12,0,0,0,16,
2,신설동(2),3,0,0,5,0,8,
2,건대입구(2),2,2,0,0,0,4,
2,구의,2,8,0,0,0,10,
2,강변,2,2,0,0,0,4,
2,잠실나루,2,4,0,0,0,6,
2,잠실(2),4,8,0,1,0,13,
2,잠실새내,4,11,0,0,0,15,
2,종합운동장(2),3,5,0,0,0,8,
2,삼성,5,4,0,1,0,10,
2,선릉(2),3,2,0,0,0,5,
2,역삼,4,14,0,0,0,18,
2,강남(2),4,0,0,0,0,4,
2,교대(2),3,4,0,0,0,7,
2,서초,4,8,0,0,0,12,
2,방배,3,2,0,0,0,5,
2,사당(2),3,14,0,0,0,17,
2,낙성대,3,8,0,0,0,11,
2,서울대입구,3,8,0,0,0,11,
2,봉천,2,8,0,0,0,10,
2,신림,3,8,0,0,0,11,
2,신대방,3,8,0,0,0,11,
2,구로디지털단지,4,4,0,0,0,8,
2,대림(2),4,6,0,0,0,10,
2,신도림(2),4,9,0,0,0,13,
2,도림천,2,0,0,0,0,2,
2,양천구청,3,2,0,0,0,5,
2,신정네거리,3,4,0,1,0,8,
2,문래,4,4,0,0,0,8,
2,영등포구청(2),4,4,0,0,0,8,
2,당산(2),4,1,0,0,0,5,
2,합정(2),4,4,0,0,0,8,
2,홍대입구(2),2,8,0,0,0,10,
2,신촌,4,4,0,0,0,8,
