시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
임자면 종합복지회관,전라남도 신안군 임자면 임자로 68,전라남도 신안군 임자면 진리 475-1,임자면여성단체협의회,061-240-3563,임자면 종합복지회관,독거노인+결식노인,중식(12:00-13:00),화,2024-01-01,2024-12-31,35.08335713,126.1151438,2024-10-24,5010000,전라남도 신안군
자은면 복지회관,전라남도 신안군 자은면 구영1길 8,전라남도 신안군 자은면 구영리 386-2,자은면자원봉사자회,061-240-3592,자은면 복지회관,독거노인+결식노인,중식(12:00-13:00),수,2024-01-01,2024-12-31,34.88464631,126.047605,2024-10-24,5010000,전라남도 신안군
비금면 봉사의 집,전라남도 신안군 비금면 읍동길 29-6,전라남도 신안군 비금면 덕산리 87-1,비금면자원봉사자회,061-240-3733,비금면 봉사의 집,독거노인+결식노인,중식(12:00-13:00),금,2024-01-01,2024-12-31,34.75546032,125.926657,2024-10-24,5010000,전라남도 신안군
도초면 종합복지센터,전라남도 신안군 도초면 서남문로 1515-20,전라남도 신안군 도초면 수항리 1472,도초면여성단체협의회,061-240-3765,도초면 종합복지센터,독거노인+결식노인,중식(12:00-13:00),수,2024-01-01,2024-12-31,34.70415173,125.9538981,2024-10-24,5010000,전라남도 신안군
흑산면 종합복지회관,전라남도 신안군 흑산면 흑산일주로 2637,전라남도 신안군 흑산면 예리 338-1,흑산면자원봉사자회,061-240-3792,흑산면 종합복지회관,독거노인+결식노인,중식(12:00-13:00),목,2024-01-01,2024-12-31,34.682709,125.4432875,2024-10-24,5010000,전라남도 신안군
하의면 복지센터,전라남도 신안군 하의면 오류동길 11,전라남도 신안군 하의면 웅곡리 240-1,하의면새마을부녀회,061-240-3823,하의면 복지센터,독거노인+결식노인,중식(12:00-13:00),목,2024-01-01,2024-12-31,34.60537278,126.0348759,2024-10-24,5010000,전라남도 신안군
신의면 복지회관,전라남도 신안군 신의면 상동길 40,전라남도 신안군 신의면 상태동리 368-14,신의면새마을부녀회,061-240-3851,신의면 복지회관,독거노인+결식노인,중식(12:00-13:00),화,2024-01-01,2024-12-31,34.58511363,126.0907881,2024-10-24,5010000,전라남도 신안군
장산면 노인복지회관,전라남도 신안군 장산면 장산중앙길 11,전라남도 신안군 장산면 도창리 679-1,장산면새마을부녀회,061-240-3882,장산면 노인복지회관,독거노인+결식노인,중식(12:00-13:00),화,2024-01-01,2024-12-31,34.64289894,126.1475659,2024-10-24,5010000,전라남도 신안군
안좌면 복지회관,전라남도 신안군 안좌면 중부로 860,전라남도 신안군 안좌면 읍동리 1117,안좌면자원봉사자회,061-240-3913,안좌면 복지회관,독거노인+결식노인,중식(12:00-13:00),화,2024-01-01,2024-12-31,34.75565211,126.1258918,2024-10-24,5010000,전라남도 신안군
팔금종합복지타운,전라남도 신안군 팔금면 삼층석탑길 170,전라남도 신안군 팔금면 읍리 501-2,팔금면여성단체협의회,061-240-3943,팔금종합복지타운,독거노인+결식노인,중식(12:00-13:00),목,2024-01-01,2024-12-31,34.78450303,126.1440135,2024-10-24,5010000,전라남도 신안군
신안국민체육센터,전라남도 신안군 암태면 장단고길 7-52,전라남도 신안군 암태면 단고리 967,암태면여성단체협의회,061-240-3973,신안국민체육센터,독거노인+결식노인,중식(12:00-13:00),수,2024-01-01,2024-12-31,34.8270006,126.1110564,2024-10-24,5010000,전라남도 신안군
석수교회,경기도 안양시 만안구 만안로 421(석수동),경기도 안양시 만안구 석수동 270-2번지,석수교회,031-471-8110,석수교회,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,2002-12-30,,37.41539775,126.9113128,2025-06-27,3830000,경기도 안양시
사랑의밥상,경기도 안양시 동안구 관악대로 349(관양동),경기도 안양시 동안구 관양동 1422-12번지 지하1층,사랑나눔시민운동본부,,사랑의밥상,60세 이상 결식위험 저소득 노인(기초생활수급자 및 차상위계층 등),중식(11:00~13:00),월+화+수+목+금,2015-11-06,,37.4042442,126.9616125,2025-06-27,3830000,경기도 안양시
살구여성회,서울특별시 금천구 시흥대로148길 27(독산동),서울특별시 금천구 독산동 969-6,살구여성회,02-895-5973,살구여성회 따뜻한밥집,저소득 어르신,중식(11:00-12:30),월+화+수+목+금+토,,,37.4751323,126.9002445,2025-08-26,3170000,서울특별시 금천구
주님앞에제일교회,서울특별시 금천구 탑골로2길 56(시흥동),서울특별시 금천구 시흥동 264-1,주님앞에제일교회,02-896-2031,주님앞에제일교회 2층,저소득 어르신,중식(11:50-12:40),화+수+목+금+토+일,,,37.4504161,126.9131787,2025-08-26,3170000,서울특별시 금천구
청담종합사회복지관,서울특별시 금천구 금하로29길 26(시흥동),서울특별시 금천구 시흥동 241-7,청담종합사회복지관,02-806-1377,청담종합사회복지관 1층,저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.45113975,126.9129242,2025-08-26,3170000,서울특별시 금천구
지산종합사회복지관,"대구광역시 수성구 용학로 325 (지산동, 지산5단지아파트)",대구광역시 수성구 지산동 1297,보림,053-781-5156,지산종합사회복지관,어르신+장애인,중식(11:00~12:20),월+금,,,35.82406842,128.6425205,2025-07-15,3460000,대구광역시 수성구
함장종합사회복지관,대구광역시 수성구 들안로 19길 48(상동),대구광역시 수성구 상동 44,함장종합사회복지관,053-763-1182,함장종합사회복지관,어르신,중식(12:00~13:00),수+금,,,,,2025-07-15,3460000,대구광역시 수성구
